sample_type	sample_name	ENCODE_ID	multiome	nCount_ATAC_above	nCount_ATAC_below	TSS_above	nucleosome_signal	clustering_resolution
adrenal	adrenal1	ENCSR420EWQ	yes	6000	75000	4	1	0.8
adrenal	adrenal2	ENCSR693GAD	yes	5000	75000	4	1	0.8
esophagus	esophagus2	ENCSR757EGB	no	3000	35000	4	1.5	0.05
esophagus	esophagus3	ENCSR164GSH	no	2000	30000	4	1.5	0.05
heartRV	heartRV1	ENCSR588PEE	yes	5000	60000	3	1.5	0.25
heartRV	heartRV2	ENCSR169BCG	yes	5000	50000	3.5	1.5	0.25
heartRV	heartRV5	ENCSR520ZUD	no	10000	150000	3	1.5	0.25
heartRV	heartRV9	ENCSR517QNQ	no	5000	100000	3.5	1.5	0.25
heart_fetal	heart_fetal1	ENCSR515SNH	yes	5000	100000	3.5	1	0.25
heart_fetal	heart_fetal3	ENCSR282FAK	yes	5000	100000	3	1	0.25
heart_fetal	heart_fetal7	ENCSR376IBI	yes	6000	100000	4	1.5	0.25
heart_fetal	heart_fetal9	ENCSR805DID	yes	10000	100000	3.5	1.5	0.25
left_colon	left_colon1	ENCSR830FPR	yes	8000	100000	3	1	0.2
left_colon	left_colon3	ENCSR904WIW	no	10000	200000	3.5	1	0.2
liver	liver3	ENCSR074DOR	yes	3000	50000	4	1	0.2
liver	liver7	ENCSR650BBI	yes	5000	50000	4	1	0.2
psoas_muscle	psoas_muscle1	ENCSR000XQD	yes	3000	30000	3	1.5	0.4
psoas_muscle	psoas_muscle2	ENCSR869LEV	yes	5000	50000	4	1.5	0.4
psoas_muscle	psoas_muscle3	ENCSR916EDP	yes	5000	40000	3	1.5	0.4
